group,size,path,keeper
0,1495040,".\target\debug\build\paste-ba5169902271920f\build_script_build-ba5169902271920f.pdb",false
0,1495040,".\target\debug\build\paste-ba5169902271920f\build_script_build.pdb",true
1,1495040,".\target\debug\build\quote-435fa7b2c1d63305\build_script_build-435fa7b2c1d63305.pdb",false
1,1495040,".\target\debug\build\quote-435fa7b2c1d63305\build_script_build.pdb",true
2,1495040,".\target\debug\build\crc32fast-17bfa425368b8715\build_script_build-17bfa425368b8715.pdb",false
2,1495040,".\target\debug\build\crc32fast-17bfa425368b8715\build_script_build.pdb",true
3,17211,".\target\debug\incremental\dirotter_scan-0u5kblchs07vp\s-hgq2xzqr7s-1qcu13u-5u1ebs0790md3yptrq3zdzz17\9nuc10q8f89i7v05x98xqsq5q.o",true
3,17211,".\target\debug\incremental\dirotter_scan-0u5kblchs07vp\s-hgq31x7p1p-1qn4yuu-3hkp6edoabqatgsdph3j9ycih\9nuc10q8f89i7v05x98xqsq5q.o",false
4,2099,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\8z1xnrw8dx0bg4suxmfn63ssf.o",true
4,2099,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\8z1xnrw8dx0bg4suxmfn63ssf.o",false
5,1511424,".\target\debug\build\zmij-42d0d62ba1780813\build_script_build-42d0d62ba1780813.pdb",false
5,1511424,".\target\debug\build\zmij-42d0d62ba1780813\build_script_build.pdb",true
6,5443,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\1c9ok5uh1xp90b0kjbcztyecv.o",true
6,5443,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\1c9ok5uh1xp90b0kjbcztyecv.o",false
7,2282,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\8nojsk9irr9xoksmtvbaxu2v0.o",true
7,2282,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\8nojsk9irr9xoksmtvbaxu2v0.o",false
8,2048,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\8qqus8xnq1zsxwujkqdwvmrcw.o",true
8,2048,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\8qqus8xnq1zsxwujkqdwvmrcw.o",false
9,56353,".\target\debug\deps\libdirotter_telemetry-365c1753cfa39be7.rmeta",true
9,56353,".\target\debug\incremental\dirotter_telemetry-0o3wm3zz0lkw4\s-hgq0gd78b4-10hedyi-f3vz3smawh3b11dhsfxiiic62\metadata.rmeta",false
10,9448,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\b0n9xshayeowdtthok7uwvu29.o",true
10,9448,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\b0n9xshayeowdtthok7uwvu29.o",false
11,43486,".\target\debug\incremental\dirotter_platform-2ap61jw3bo179\s-hgq0hapqkt-17xd2y0-bo13ff9ixfiujzr2m8xiao3qt\7hvmb7mhu4gd3721jdty061pf.o",true
11,43486,".\target\debug\incremental\dirotter_platform-2ap61jw3bo179\s-hgq134vlsy-1o65n4n-7amcr1mdpf8sai2cvuiucf1ez\7hvmb7mhu4gd3721jdty061pf.o",false
12,43486,".\target\debug\incremental\dirotter_platform-1x6hq08txk4cz\s-hgq0zyhs3l-00kvkn9-er3f0i6vq8c33vkd71p4o2nkf\b3gwo0wmcp28n96714kdge0ju.o",true
12,43486,".\target\debug\incremental\dirotter_platform-1x6hq08txk4cz\s-hgq119wfac-0hwh7kl-40e0v9zwiqey7qxmrwd6e3024\b3gwo0wmcp28n96714kdge0ju.o",false
13,81179,".\target\debug\incremental\dirotter_app-1do5i7iw083xq\s-hgq22i1cq4-1h0oep2-df1luf3wrqf2iufikrxq0rrae\88larf89h5845jwe4upotvnca.o",true
13,81179,".\target\debug\incremental\dirotter_app-1do5i7iw083xq\s-hgq23mldpu-1xtzsys-bqsy4kwxxyq12n0njn3b1j9qr\88larf89h5845jwe4upotvnca.o",false
14,10617,".\target\debug\incremental\dirotter_ui-18ktn35pa5tbx\s-hgq23lsbfp-1qpy0z4-6ar40e21kt7xt7j7mlli1dqqp\4lpiqwy13c3xyhzie48dgvjh6.o",true
14,10617,".\target\debug\incremental\dirotter_ui-18ktn35pa5tbx\s-hgq2eqit59-1hddxpw-alosvrnjxoe46zcntfpd55u3c\4lpiqwy13c3xyhzie48dgvjh6.o",false
15,10617,".\target\debug\incremental\dirotter_ui-03jfeaf3gtxii\s-hgq2xzyhwa-19637ch-3i1iz20aa86ftms2xbeqp38cq\cqhovwa0fizvounmxv9of76zs.o",true
15,10617,".\target\debug\incremental\dirotter_ui-03jfeaf3gtxii\s-hgq31xe0uv-1vnwlto-8zaasn1ofg6et7tpi3zp2p85e\cqhovwa0fizvounmxv9of76zs.o",false
16,14272,".\target\debug\incremental\dirotter_actions-11pkwi211lahs\s-hgq10odssk-0d24t3z-apbafqxl0e3agm3acesh1hvmj\8tayaqc0dchjznkjropc5wayx.o",true
16,14272,".\target\debug\incremental\dirotter_actions-11pkwi211lahs\s-hgq11aanr7-11wmoc2-2n02kf2vdnlkxa6fnl5k3av7i\8tayaqc0dchjznkjropc5wayx.o",false
17,196916,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\4f0xdye8i5d40tk06h1pxf50f.o",true
17,196916,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\4f0xdye8i5d40tk06h1pxf50f.o",false
18,1701,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq2xzqshz-1i3vt77-87bitly9cizqt4gvlj3lujodn\6qbezww0lmwfutqdk4qbyjh7n.o",true
18,1701,".\target\debug\incremental\dirotter_scan-0davnwwwd5kj5\s-hgq31x7oyg-17ohnr9-7ki3iaf0s1qo30ecos1hzhk1s\6qbezww0lmwfutqdk4qbyjh7n.o",false
19,213030,".\target\debug\incremental\dirotter_ui-03jfeaf3gtxii\s-hgq2xzyhwa-19637ch-3i1iz20aa86ftms2xbeqp38cq\1wo0zwp5lh2q7fikkr29hxfp2.o",true
