path,reason,kind
"C:\$Recycle.Bin\S-1-5-18","read_dir: 拒绝访问。 (os error 5)",System
"C:\$Recycle.Bin\S-1-5-21-3647064420-2041133764-2522221439-1000","read_dir: 拒绝访问。 (os error 5)",System
"C:\$Recycle.Bin\S-1-5-21-3647064420-2041133764-2522221439-500","read_dir: 拒绝访问。 (os error 5)",System
"C:\Config.Msi","read_dir: 拒绝访问。 (os error 5)",System
"C:\$Recycle.Bin\S-1-5-18","read_dir: 拒绝访问。 (os error 5)",System
"C:\$Recycle.Bin\S-1-5-21-3647064420-2041133764-2522221439-1000","read_dir: 拒绝访问。 (os error 5)",System
"C:\$Recycle.Bin\S-1-5-21-3647064420-2041133764-2522221439-500","read_dir: 拒绝访问。 (os error 5)",System
"C:\Config.Msi","read_dir: 拒绝访问。 (os error 5)",System
"C:\PerfLogs","read_dir: 拒绝访问。 (os error 5)",System
"C:\Recovery","read_dir: 拒绝访问。 (os error 5)",System
"C:\System Repair","read_dir: 拒绝访问。 (os error 5)",System
"C:\PerfLogs","read_dir: 拒绝访问。 (os error 5)",System
"C:\System Volume Information","read_dir: 拒绝访问。 (os error 5)",System
"C:\Recovery","read_dir: 拒绝访问。 (os error 5)",System
"C:\System Repair","read_dir: 拒绝访问。 (os error 5)",System
"C:\System Volume Information","read_dir: 拒绝访问。 (os error 5)",System
"C:\Intel\IntelOptaneData","read_dir: 拒绝访问。 (os error 5)",System
"C:\Intel\IntelOptaneData","read_dir: 拒绝访问。 (os error 5)",System
"C:\Program Files\WindowsApps","read_dir: 拒绝访问。 (os error 5)",System
"C:\Program Files\WindowsApps","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Packages","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\WindowsHolographicDevices","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Packages","read_dir: 拒绝访问。 (os error 5)",System
"C:\Users\CodexSandboxOffline","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\WindowsHolographicDevices","read_dir: 拒绝访问。 (os error 5)",System
"C:\Users\CodexSandboxOffline","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\LiveKernelReports","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\LiveKernelReports","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ModemLogs","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Prefetch","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ModemLogs","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceState","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Prefetch","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceState","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SystemTemp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SystemTemp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Temp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Temp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\WUModels","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\WUModels","read_dir: 拒绝访问。 (os error 5)",System
"C:\Program Files (x86)\Google\CrashReports","read_dir: 拒绝访问。 (os error 5)",System
"C:\Program Files (x86)\Google\CrashReports","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\SARemediation","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\SupportAssist","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\SupportAssist","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\SARemediation","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\UpdateService","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\UpdateService","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Diagnosis","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Diagnosis","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\SmsRouter","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\SmsRouter","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\VMware\VMware USB Arbitration Service","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\VMware\VMware USB Arbitration Service","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\AIDD","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\appraiser","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\AIDD","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\Backup","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\appraiser","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\Programs","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\Backup","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\UA","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\Programs","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\appcompat\UA","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Logs\SystemRestore","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Logs\SystemRestore","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Reports","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Rules","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Templates","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Rules","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Reports","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\PLA\Templates","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Provisioning\Autopilot","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Provisioning\Autopilot","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\security\audit","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\security\cap","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceProfiles\LocalService","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\security\audit","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceProfiles\NetworkService","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\security\cap","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceProfiles\LocalService","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\ServiceProfiles\NetworkService","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\config","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Configuration","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Configuration","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\config","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\DriverState","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\DriverState","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\config","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\config","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Configuration","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Configuration","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\ias","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\ias","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\MsDtc","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\MsDtc","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\networklist","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Msdtc","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\networklist","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Msdtc","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\NetworkList","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\NetworkList","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\SleepStudy","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\SleepStudy","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\sru","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\sru","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\sru","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\sru","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Tasks","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Tasks","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Tasks","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Tasks_Migrated","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Tasks","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Tasks_Migrated","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\WDI","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\WDI","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\WebThreatDefSvc","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\WebThreatDefSvc","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\D3\pla","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\D3\pla","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\DTP\DB","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Dell\DTP\DB","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\NetFramework\BreadcrumbStore","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Network\Downloader","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Provisioning\AssetCache","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\NetFramework\BreadcrumbStore","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Network\Downloader","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Search\Data","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Provisioning\AssetCache","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Search\Data","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\AppRepository","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\CapabilityAccessManager","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Hyper-V","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\AppRepository","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\LfSvc","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\CapabilityAccessManager","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Models","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Hyper-V","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\PackagedEventProviders","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\LfSvc","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Power Efficiency Diagnostics","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Models","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\PackagedEventProviders","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\SystemData","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\wfp","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\Power Efficiency Diagnostics","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WSAIFabric","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\SystemData","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\wfp","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Clean Store","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows\WSAIFabric","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Features","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows NT\MSFax","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Clean Store","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\LocalCopy","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Features","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows NT\MSFax","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Network Inspection System","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Quarantine","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\LocalCopy","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Scans","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Network Inspection System","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Quarantine","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Support","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Scans","read_dir: 拒绝访问。 (os error 5)",System
"C:\ProgramData\Microsoft\Windows Defender\Support","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Microsoft\Windows\Models","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\Microsoft\Windows\Models","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Com\dmp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\Com\dmp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\drivers\DriverData","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\drivers\DriverData","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Com\dmp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\SysWOW64\Com\dmp","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\LogFiles\WMI","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\LogFiles\WMI","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\spool\PRINTERS","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\spool\SERVERS","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\spool\PRINTERS","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\spool\SERVERS","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\wbem\MOF","read_dir: 拒绝访问。 (os error 5)",System
"C:\Windows\System32\wbem\MOF","read_dir: 拒绝访问。 (os error 5)",System
